,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
394,GullyBuy Software,2019,Pune,Technology,To deliver a solution that will provide shopping convenience to every consumer in India,Inflection Point Ventures,543000.0,Pre-series A,2020
395,Recordent,2019,Hyderabad,Technology,A technology-enabled platform that helps MSMEs to increase their business efficiency through collection of dues,Inflection Point Ventures,3000000.0,Seed,2020
396,MPL,2018,Bangalore,Media and Entertainment,Mobile Premier League is the mobile e-Sports platform based in India., GO Ventures,90000000.0,Series C,2020
397,Penny,2020,Riyadh,Technology,Offer various development solutions and mainly focus on helping startups,Inflection Point Ventures,1300000.0,Seed,2020
398,Onsitego,2010,Mumbai,Hospitality,Onsitego is a customer service company for device and appliance repairs., Zodius Capital,30000000.0,Series B,2020
399,Precily,2017,California,Finance,Precily is Artificial Intelligence platform for enterprises that increases efficiency of workforce by providing AI based solutions., Anil Advani,3000000.0,Seed,2020
400,SmartClean,2017,Singapore,Technology,SmartClean Technologies is an AI company that offers data-driven cleaning operations designed for facilities., AIM Smart City,3400000.0,Pre-series A,2020
401,ClanConnect,2016,Delhi,Commerce,"AI-driven influencer marketing platform ClanConnect.ai, which helps brands make their campaigns more data and result-oriented",Inflection Point Ventures,600000.0,Seed,2020
402,Servify,2015,Mumbai,Service,Servify is a self-learning platform that provides device management services and warranty solutions., Tetrao,23000000.0,Series C,2020
403,ShareChat,2015,Bangalore,Media and Entertainment,ShareChat is a social networking and regional content platform., saif partners,40000000.0,Pre-series C,2020
404,Rephrase.ai,2018,Bangalore,Technology,Rephrase.ai helps in creating high-quality videos and animations through an AI-powered visual dubbing tool., Techstars,1500000.0,Seed,2020
405,Melorra,2015,Bangalore,Beauty and Fashion,"Buy Latest Gold, Diamond & Gemstone Jewellery Designs Online Rings, Earrings, Necklace", Lightbox,8090000.0,Debt,2020
406,FabHotels,2014,Gurugram,Hospitality,FabHotels is a network of 3 star budget hotels in India, Goldman Sachs,1030000.0,Series B,2020
407,EkAnek,2018,New Delhi,Technology,EkAnek Networks is a new startup that is focused on building the ecosystem for new age brands in lifestyle categories, Sequoia Capital India,5040000.0,Edge,2020
408,Cub McPaws,2018,Mumbai,Ar,Cub McPaws is a kids clothing brand.,Venture Catalysts,800000.0,Pre-series A,2020
409,Zimyo,2018,Gurgaon,Business Intelligence,Employee experience platform that empowers organizations to manage and retain great talent!, Chiranth Patil,1500000.0,Seed,2020
410,PumPumPum,2018,Gurgaon,Transport,Pumpumpum is a car rental company,CDC Group,360000.0,Debt,2020
411,Burgerama,2018,Gurgaon,Food & Beverage,Burgerama is a unit of Junket Foods Private Limited, Anicut,3000000.0,Pre-series A,2020
412,Moms Co,2016,Gurgaon,Technology,The Moms Co. creates a safe and natural formulated products for babies that are certified toxin-free, Saama Capital,8000000.0,Series B,2020
413,DillyHub,2018,Seoul,Telecommunications,A service that promotes and facilitates the works of independent comic artists, Shinhan Capital,1400000.0,Seed,2020
414,FPL Technologies,2019,Pune,Technology,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card, Hummingbird Ventures,10000000.0,Series A,2020
415,FITTR,2016,Pune,LifeStyle,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,Surge,2000000.0,Pre-series A,2020
416,Illumnus,2018,Pune,Education,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",23 High Networth Individuals (HNIs).,100000.0,Seed,2020
417,CashKaro,2012,Gurgaon,Commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site., Kalaari Capital,10000000.0,Series B,2020
418,Newton School,2019,Bangalore,Education,Newton School is a platform to learn and develop skills,Nexus Venture Partners,650000.0,Seed,2020
419,Airmeet,2019,Bangalore,Technology,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge", Redpoint,12000000.0,Series A,2020
420,Observe ai,2017,San Francisco,Technology,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.", Steadview Capital,54000000.0,Series B,2020
421,InCred,2016,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan", Fiscal,5000000.0,Debt,2020
422,Toppr,2013,Mumbai,Education,Toppr is an Indian educational technology and online tutoring firm, Foundation Holdings,35000000.0,Series D,2020
423,CarTrade,2009,Mumbai,Car,Buy and Sell Used Cars, March Capital,42500000.0,Series H,2020
424,LEAD School,2012,Mumbai,Education,Offers a high-end digital classroom system focused on enhancing the learning experience, Elevar Equity,28000000.0,Series C,2020
425,Servify,2015,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty", Tetrao,11370000.0,Series C,2020
426,Lido Learning,2019,Mumbai,Education,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?", Madhur Deora,7500000.0,Series B,2020
427,Apna.co,2019,Bangalore,Business Intelligence,Can find all types of jobs from entry level to experienced people in over 60+ categories., Sequoia Capital India,8000000.0,Series A,2020
428,Quintype Technologies,2014,Bangalore,Technology,"Building a suite of digital publishing solutions to simplify content creation, distribution", Raghav Bahl,325000.0,Series A,2020
429,Dunzo,2014,Bangalore,Technology,Order online and get free delivery from your nearby restaurants, Alteria Capital,28000000.0,Series E,2020
430,Entropik,2016,Bangalore,Technology,Gain insights into human emotions with AI-powered platform affect lab., Bharat Innovation Fund,8000000.0,Series A,2020
431,LIVSPACE,2014,Bangalore,LifeStyle,Interior design marketplace that connects interior designers, Nicholas Cator,9000000.0,Series D,2020
432,Ultraviolette Automotive,2015,Bangalore,Manufacturing,Industries Automotive Electric Vehicle Energy Energy Storage,TVS Motor Company,410000.0,Series B,2020
433,Winzo,2016,New Delhi,Manufacturing,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India., Courtside Ventures,18000000.0,Series B,2020
434,SenseHawk,2016,Bangalore,Energy,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development, SAIF Partners,5000000.0,Series A,2020
435,Railofy,2019,Mumbai,Wl,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,Chiratae ventures,900000.0,Seed,2020
436,Eloelo,2020,Bangalore,Commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",Inflection Point Ventures,450000.0,Seed,2020
437,Aibono,2014,Bangalore,Agriculture,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming, Rianta Capital,2000000.0,Pre-series A,2020
438,BuildPan,2019,Indore,Technology,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.", Yusho Kawata,500000.0,Seed,2020
439,Homelane,2014,Bangalore,Real Estate,Explore 1000's of fully customizable home interior designs., JSW Ventures,8000000.0,Bridge,2020
440,MyGlamm,2015,Mumbai,Beauty and Fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,Bessemer Venture Partners,1000000.0,Series B,2020
441,Aviom,2016,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas, C4D Partners,682000.0,Debt,2020
442,Flinto,2013,Chennai,Education,Flintobox is an India-based company that produces educational activity boxes for children, Y Combinator,7000000.0,Pre-series B,2020
443,WayCool,2015,Chennai,Agriculture,WayCool is a social enterprise positively impacting the lives of India's farmers, IndusInd Bank,5060000.0,Series C,2020
444,YAP,2014,Chennai,Api,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs, Better Capital,4050000.0,Series A,2020
445,Big Bang Boom Solutions,2018,Chennai,Technology,It aims to co-create intellectual property that can reside within the borders of the country., Defence Innovation Organisation,1050000.0,Series A,2020
446,GUVI,2014,Chennai,Education,Operates vernacular-language based education tech startup, Gray Matters Capital,800000.0,Series A,2020
447,BluSmart,2019,Gurugram,Energy,"BluSmart, an all-electric ride-hailing platform", JITO Angel Network,7000000.0,Pre-series A,2020
448,Cell Propulsion,2017,Bangalore,Transport,Designs and develops electric power drives and autonomous electric mobility solutions, Sangam Ventures,3000000.0,Pre-series A,2020
449,MPL,2018,Bangalore,Media and Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform, Times Internet,50000000.0,Series B,2020
450,Spoonshot,2015,Bangalore,Commerce,A food science company using AI to predict consumer taste and food trends, Techstars Farm to Fork Accelerator,1000000.0,Seed A,2020
451,Pulse,2015,Mumbai,Technology,Helps people navigate through and profit off financial markets,Inflection Point Ventures,750000.0,Pre-series A,2020
452,Groww,2016,Bangalore,Technology,Leading Investment and Trading Platform, Ribbit Capital,30000000.0,Series C,2020
453,i3 Systems,2016,Mumbai,Finance,Transforming India's health insurance industry with its digital solutions and AI products for automation, Minomiya Takeo,1050000.0,Pre-series A,2020
454,SOAL,2017,Mumbai,Education,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders", Srinivas Kollipara,1000000.0,Series A-1,2020
455,OckyPocky,2015,Gurugram,Education,Ockypocky helps kids in learning spoken english, ah! Ventures,400000.0,Seed,2020
456,Hippo Video,2016,New York,Media and Entertainment,Helps enterprise businesses achieve their marketing and sales goals through seamless video, Kae Capital,4000000.0,Series A,2020
457,Hasura,2017,San Francisco,Technology,"Builds developer tooling products, including open source tools, backend", Sam Lambert,25000000.0,Series B,2020
458,Qapita,2019,Singapore,Technology,Qapita provides digital equity management tools for private companies and startups., Mission Holdings,1080000.0,Seed,2020
459,Sunday,2017,Bangkok,Technology,An end-to-end insurance products and services provider that uses AI to offer personalized packages., LINE Ventures,9000000.0,Pre-series B,2020
460,Gamezop,2015,Gurugram,Manufacturing,A multi-game platform,,4300000.0,Series A,2020
461,Phool.co,2017,Kanpur,Biomaterial,They use flowers from temples across India's and create useful products such as rose incense cone,Kaplan Foundation,1400000.0,Pre-series A,2020
462,Chiratae Ventures,2018,Bangalore,Finance,A leading tech venture capital fund focused on enabling entrepreneurs in India.,Venture Catalysts,3000000.0,Seed Funding,2020
463,MedLife,2014,Bangalore,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.",Ivy Icon,6800000.0,Venture - Series Unknown,2020
464,IDfy,2011,Mumbai,Technology,IDfy provides risk and fraud solutions, Dream Incubator,2110000.0,Series A,2020
465,True Balance,2014,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,Balancehero,3000000.0,Series C,2020
466,Bira91,2015,New Delhi,LifeStyle,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Anicut Capital,764000.0,Venture - Series Unknown,2020
467,Max wholesale,2016,New Delhi,Commerce,MaxWholesale is an online distributor that provides authentic FMCG goods, Vistra ITCL India,603000.0,Venture - Series Unknown,2020
468,Craftsvilla,2011,Mumbai,Commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories",Supera Investments,409000.0,Venture - Series Unknown,2020
469,MechMocha,2011,Bangalore,Media and Entertainment,India's first vernacular social gaming platform, Akatsuki Inc,292000.0,Series A,2020
470,Mindhouse,2019,Gurugram,Technology,A gym to train your mind offering workouts and programmes, Sahi Barual,286000.0,Venture - Series Unknown,2020
471,Deepsync,2018,Chandigarh,Technology,"A revolutionary way to record your content, without you really speaking", Accelerator Fund,136000.0,Venture - Series Unknown,2020
472,Eruditus,2010,Mumbai,Education,Bring world-class business and professional education to a global audience, Sequoia Capital India,3000000.0,Venture - Series Unknown,2020
473,Gradeup,2015,Noida,Education,"India's largest exam preparation destination,", TLabs,546000.0,Venture - Series Unknown,2020
474,Tracxn,2013,Bangalore,Finance,Tracxn is the research partner for Venture Capitalist, Sequoia capital,887000.0,Series B,2020
475,Purple Style Labs,2015,Mumbai,Beauty and Fashion,Shopping experience and foster the growth of Indian brands and designers., Astarc Ventures.,43000.0,Venture - Series Unknown,2020
476,ProPhysio,2016,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Nestavera Ventures.,40900.0,Venture - Series Unknown,2020
477,Flickstree,2014,Mumbai,Technology,World's largest video publisher, Venture Catalysts,40900.0,Venture - Series Unknown,2020
478,Settl,2015,Gurugram,Technology,Get affordable AC bus-rides everyday, SIG Global India Fund,3000000.0,Venture - Series Unknown,2020
479,Fanspole,2015,Thane,Media and Entertainment,India's only social fantasy gaming platform, Better Capital,3000000.0,Pre-seed,2020
480,Sarva,2016,Mumbai,Technology,A wellness ecosystem built on the authentic foundations of Yoga, Mantra Capital,3000000.0,Venture - Series Unknown,2020
481,Univ.ai,2019,Bangalore,Education,"A distributed, global educational powerhouse that draws on technology",Kiran Mazumdar Shaw.,3000000.0,Venture - Series Unknown,2020
482,PurohitJi,2016,Bangalore,LifeStyle,App for Hindu Puja Products & Services,Bhadresh,3000000.0,Venture - Series Unknown,2020
483,CredoLab,2015,Singapore,Technology,AI credit scoring platform, Walden International,7000000.0,Series A,2020
484,Brick&Bolt,2018,Bangalore,Real Estate,"A construction company doing house construction, building construction, commercial construction", Navin Dhanuka,2200000.0,Series A,2020
485,Grinntech,2013,Chennai,Manufacturing,Leading on all fronts of battery design, V Lakshmi Narayanan,2000000.0,Venture - Series Unknown,2020
486,6Degree,2014,Mumbai,Beauty and Fashion,India's leading fashion business platform, SucSEED Venture Partners,340000.0,Venture - Series Unknown,2020
487,Exprs,2018,Gurgaon,Nano,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.", Sandeep Kapoor,5660000.0,Venture - Series Unknown,2020
488,Bikayi,2019,Hyderabad,Commerce,Provides free whatsapp integrated E-Commerce Store,Mantis ventures,2000000.0,Seed round,2020
489,Virtual Forest,2019,Bangalore,Technology,Tracking seasonal change in virtual forest,Napino Auto and Electronics Ltd,3000000.0,Venture - Series Unknown,2020
490,The Health company,2018,Gurugram,Technology,Organic superfoods & free personal health coaching that actually work., Marquee investors,350000.0,Venture - Series Unknown,2020
491,TrulyMadly Matchmakers,2014,Gurugram,Media and Entertainment,One of the best dating Apps in India connecting singles across the country., The Chennai Angels,110000.0,Pre-series A,2020
492,TrueFan,2020,Mumbai,Media and Entertainment,Enables users to play quizzes around celebrities and winners get a personalised video message from stars., Ronnie Screwvala,4300000.0,Seed round,2020
493,Fanspole,2015,Mumbai,Manufacturing,A free app that users can use to create contests and play,Better Capital,3000000.0,Pre-seed Round,2020
494,Byju's,2011,Bangalore,Education,Provides online learning classes,DST Global,122000000.0,Venture - Series Unknown,2020
495,Avail Finance,2017,Bangalore,Technology,Instant online loan app, Matrix Partners,11635000.0,Series B,2020
496,The Money Club,2016,Delhi,Technology,AI based chit fund cashier app,Venture Catalysts,3000000.0,Venture - Series Unknown,2020
497,Virohan,2018,Gurgaon,Technology,Healthcare training company, Elea Foundation,2800000.0,Seed Round & Series A,2020
498,OneCode,2016,Gurugram,Commerce,Connects new-age digital first brands with relevant sellers,WaterBridge Ventures,3000000.0,Seed round,2020
499,Verloop.io,2015,Mumbai,Technology,Helps automate customer service using Artificial Intelligence,Alpha Wave incubation,5000000.0,Venture - Series Unknown,2020
500,Otipy,2020,Bangalore,Agriculture,Connects consumers with farmers thorugh women resellers,Inflection Point Ventures,1000000.0,Pre-series A,2020
501,Evage,2014,Chandigarh,Transport,Develop emissions-free electric commercial vehicles,Anand Shah,3000000.0,Venture - Series Unknown,2020
502,LEAD School,2012,Mumbai,Education,Offers an integrated system for schools by helping them digitize the entire curriculum, Elevar Equity,28000000.0,Series C,2020
503,Trell,2016,Bangalore,Commerce,Allows users to share their travel experiences, Vineet Buch,11000000.0,Series A,2020
504,Captain Fresh,2019,Bangalore,Food & Beverage,Sea food Supply chain,Ankur Capital,2300000.0,Pre-series A,2020
505,Teachmint,2016,Bangalore,Education,Empowers tutors with tools to deliver effective learning outcomes for students and parents,Better Capital,3000000.0,Venture - Series Unknown,2020
506,Pixxel,2019,Bangalore,Technology,Indian Earth observation startup, GrowX ventures,5000000.0,Seed round,2020
507,Habbit Health,2019,Delhi,Health,Applies modern science for healthier life through proprietary foods & digital ecosystem, Angel list India,3000000.0,Pre-seed Round,2020
508,SmarterBiz,2014,Bangalore,Technology,An end-to-end CX platform enabled with the gig workforce, MJ Aniketh.,1065000.0,Pre-series A,2020
509,Able Jobs,2019,Bangalore,Business Intelligence,Provides end to end hiring support to companies, First Cheque.,2000000.0,Venture - Series Unknown,2020
510,Vieroots,2018,Kochi,Technology,Personalised lifestyle management using epigenetic science,Suniel Shetty,3000000.0,Venture - Series Unknown,2020
511,Stack Finance,2019,Bangalore,Technology,"It automates invesments, expenses, borrowing under a single platform", MOX (Mobile Only Accelerator),3000000.0,Seed round,2020
512,FPL Technologies,2016,Pune,Technology,OneScore app is built by FPL - Free credit scoring and monitoring, Hummingbird Ventures,10000000.0,Series A,2020
513,Masai School,2019,Bangalore,Education,It trains tech aspirants in full stack wed and android development, AngelList India,2500000.0,Series A,2020
514,Mitron,2016,Bangalore,Media and Entertainment,Short Video and Social Platform,Nexus Venture Partners,5000000.0,Series A,2020
515,Daalchini,2017,Chennai,Technology,Physical and Digital vending machines startup,Artha Venture Fund,669000.0,Pre-series A,2020
516,Suno India,2018,Ahmedabad,Media and Entertainment,Multilingual podcast platform,Shobu Yarlagadda,3000000.0,Angel Round,2020
517,LendingKart,2014,Ahmedabad,Technology,Provides working capital loans and business loans to MSMEs, IndiaQuotient,16076000.0,Series D,2020
518,Text Mercato,2015,Mumbai,Others,Cataloguing startup that serves ecommerce platforms,1Crowd,649600.0,Series A,2020
519,Eden Smart Homes,2018,Gurugram,Technology,Develops smart home automation systems,Inflection Point Ventures,3000000.0,Venture - Series Unknown,2020
520,GrayQuest,2017,Mumbai,Education,Enables parents to pay their annual education fees in up to 12 monthly installments,Foundation Holdings,1000000.0,Pre-series A,2020
521,BigHaat,2015,Bangalore,Agriculture,Agri-inputs ecommerce player, Beyond Next Ventures,2000000.0,Pre-series A,2020
522,CityCash,2017,Mumbai,Technology,Focusses on creating a transit led micro-payments ecosystem,Orios Venture Partners,1000000.0,Seed round,2020
523,Homelane,2014,Chennai,LifeStyle,Provides interior designing solutions, FJ Labs,1000000.0,Series D,2020
524,HungerBox,2015,Bangalore,Technology,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",IIFL Income Opportunities Fund,6700000.0,Series C,2020
525,DaveAI,2016,Bangalore,Technology,Sales augmentation platform with a vision to democratise AI for enterprises,Mumbai Angels Network,3000000.0,Venture - Series Unknown,2020
526,Eduvanz,2016,Mumbai,Technology,Digital finance NBFC that provides affordable education loans,Sequoia India,5000000.0,Series A,2020
527,ZipLoan,2015,Delhi,Technology,Provides loans to MSMEs,Stride Ventures,2000000.0,Venture - Series Unknown,2020
528,DocSumo,2019,Mumbai,Technology,Platform helps to automate and analyse financial data, Barclays.,220000.0,Seed round,2020
529,CUSMAT,2016,Warangal,Ar,It builds high immersion training systems for enterprises,  Raveen Sastry,3000000.0,Venture - Series Unknown,2020
530,Chingari,2018,Bangalore,Media and Entertainment,Short video platform, Jasminder Singh Gulati,1300000.0,Seed round,2020
531,Bolo Indya,2016,Gurugram,Media and Entertainment,User-generated content platform, HNIs,300000.0,Pre series A1,2020
532,Data Sutram,2018,Kolkata,Technology,Platform gathers intel from external data to provide location-based data intelligence., Nitin Jain,266500.0,Venture - Series Unknown,2020
533,Wobot Intelligence,2016,Delhi,Technology,AI backed video analytics platform,Sequoia Capital India,2500000.0,Pre-series A,2020
534,DrinkPrime,2016,Bangalore,Manufacturing,Subscription-based Water purifier startup,Sequoia Surge,2879000.0,Pre-series A,2020
535,inFeedo,2013,Gurugram,Business Intelligence,An employee engagement HR analytics platform,Y Combinator,700000.0,Venture - Series Unknown,2020
536,Probus Smart Things,2016,Delhi,Technology,Platform for monitoring distribution sub-station performance and operations,Unicorn India Ventures,3000000.0,Seed round,2020
537,CrowdPouch,2016,Bangalore,Technology,A reward-based fundraising and preselling platform,Elina Investments,3000000.0,Angel Round,2020
538,Rebel Foods,2011,Mumbai,Food & Beverage,Cloud kitchen platform,Coatue Management,26500000.0,Series E2,2020
539,Hevo,2017,Bangalore,Technology,Data pipeline startup, Lachy Groom,8000000.0,Series A,2020
540,BigSpoon Foods,2019,Ahmedabad,Technology,Cloud kitchen startup, TrueValue Group MD Yash Shah,2000000.0,Pre-series A,2020
541,Chingari,2016,Bangalore,Media and Entertainment,Homegrown short video platform, Village Global.,1000000.0,Seed round,2020
542,ShareChat,2015,Bangalore,Media and Entertainment,Indian social network platform, Tetsuro Koda,351000.0,Venture - Series Unknown,2020
543,DatStop,2016,Delhi,Hospitality,It offers urban social space,  Saurabh Pathak.,3000000.0,Venture - Series Unknown,2020
544,IPHM Services,2016,Mumbai,Health,It helps design programs and workshops for the psychological well-being of individuals,Indian Angel Fund,3000000.0,Seed round,2020
545,Wellcure,2016,Gurugram,Technology,It caters to all health and wellness needs,Inflection Point Ventures,200000.0,Venture - Series Unknown,2020
546,VilCart,2018,Bangalore,Technology,"Retail industry in rural India through technology, supply chain, and logistics facilities.", Prashanth Prakash,3000000.0,Bridge Round,2020
547,Firescore,2016,Mumbai,Manufacturing,Game development studio,Crazy Labs,500000.0,Venture - Series Unknown,2020
548,BulBul,2018,Gurgaon,Commerce,A video and livestream led commerce platform that makes online shopping engaging,Info Edge,3000000.0,Venture - Series Unknown,2020
549,Toppr,2013,Mumbai,Education,It provides AI-based after school learning app for K12,Foundation Holdings,46761000.0,Series D,2020
550,Pickright Technologies,2019,Bangalore,Technology,Marketplace for stock market investors and advisors, Satish Bogullu,175000.0,Seed round,2020
551,Muse Wearables,2018,Chennai,Technology,It sells the world’s first payment-enabled hybrid smartwatches,Dr. Bhaskar Rao Bollineni,3000000.0,Venture - Series Unknown,2020
552,SATYA Microcapital,1995,Delhi,Technology,Microfinance company that offers collateral-free credit to micro enterprises,BlueOrchard Finance Limited,3000000.0,Venture - Series Unknown,2020
553,WYN Studio,2016,Gurugram,Media and Entertainment,It creates video content and podcasts,India Angel Fund,3000000.0,Seed round,2020
554,Fourth Partner Energy,2010,Bangalore,Energy,Largest startup in the distributed solar sector,ResponsAbility Investments AG,15000000.0,Venture - Series Unknown,2020
555,Entri,2017,Kochi,Education,Local language learning startup,Good Capital,1700000.0,Pre-series A,2020
556,Snack Amor,2017,Mumbai,Technology,Healthy snack startup,Dr Srinivas Chunduru,3000000.0,Venture - Series Unknown,2020
557,MPowered,2016,Gurugram,Technology,Asset Management Solutions, Shelly Nichani,21000000.0,Pre-series A,2020
558,Leap Club,2020,Gurugram,Commerce,Community led professional network for women,Titan Capital,3000000.0,Venture - Series Unknown,2020
559,Ather Energy,2013,Bangalore,Transport,Electric scooter manufacturer,Hero MotoCorp,11241000.0,Series C,2020
560,Gigforce,2016,Bangalore,Business Intelligence,Provides staffing solutions for businesses,Unitus Venture,804000.0,Venture - Series Unknown,2020
561,Vegrow,2020,Bangalore,Agriculture,It is building an asset-light farm by partnering with small farms on a profit-sharing model, Ankur Capital,2500000.0,Seed round,2020
562,Finn,2019,Bangalore,Technology,Neobanking startup that digitises all banking transactions, Astir Ventures,3000000.0,Pre-series A,2020
563,Bijnis,2015,Hyderabad,Commerce,Provides a platform for manufacturers and retailers in digital transaction, Waterbridge Ventures,10000000.0,Series A,2020
564,iNurture,2009,Bangalore,Education,"It provides a conducive and healthy teaching, learning environment",BlackSoil Capital,1340000.0,Venture - Series Unknown,2020
565,StyleDotMe,2014,Gurugram,Beauty and Fashion,"mirrAR, helps jewellers sell jewellery with no physical inventory",Survam Partners,467000.0,Pre-series A,2020
566,Ripsey,2018,Mumbai,Health,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,Ah! Ventures,133000.0,Venture - Series Unknown,2020
567,ThriveFNC,2017,Pune,Health,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Rajesh Ranavat,3000000.0,Seed round,2020
568,Vedantu,2011,Bangalore,Education,Onine learning platform,Coatue,100000000.0,Series D,2020
569,Magicpin,2015,Pune,Others,"It is a local discovery, rewards, and commerce platform",Samsung Venture Investment Corporation,7000000.0,Series D,2020
570,Procol,2018,Delhi,Agriculture,Commodity procurement platform,Sequoia Surge,3823000.0,Venture - Series Unknown,2020
571,Yumlane,2016,Mumbai,Technology,Online retailer that offers a range of on-the-go hot snacking and meals,Jetty Ventures,1000000.0,Pre-series A,2020
572,Crio,2018,Bangalore,Education,A learning platform for developers,021 Capital,934000.0,Venture - Series Unknown,2020
573,Openapp,2016,Bangalore,Technology,Security solutions startup,Unicorn India Ventures,500000.0,Venture - Series Unknown,2020
574,PumPumPum,2016,Gurugram,Technology,Offers leased car services,LetsVenture Syndicate,293000.0,Venture - Series Unknown,2020
575,uFony Services Pvt ltd,2016,Pune,Education,"School Diary, a platform that brings education to smartphones",Chennai Angels,3000000.0,Venture - Series Unknown,2020
576,Protinus Fashion Networking Pvt Ltd,2015,Mumbai,Beauty and Fashion,Owns and operates fashion commerce and retail management platform 6Degree,SucSEED Ventures,3000000.0,Pre-series A,2020
577,Uable,2016,Bangalore,Education,Online life skills development platform for children,3one4 Capital,3000000.0,Seed round,2020
578,ParkSmart,2019,Delhi,Technology,Parking spot reservation platform,Ah! Ventures,198000.0,Venture - Series Unknown,2020
579,Plum,2019,Bangalore,Technology,Provides health benefits to corporates,Incubate Fund,927000.0,Seed round,2020
580,IncNut Digital,2011,Hyderabad,Technology,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,RPSG Ventures,4000000.0,Series A,2020
581,Gig India,2017,Pune,Technology,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,Incubate Fund India,971000.0,Pre-series A,2020
582,Specsmaker,2007,Chennai,Eye,Online optical chain for eye wears,Eight Road Ventures,3060000.0,Venture - Series Unknown,2020
583,Piggy Ride,2016,Bangalore,Technology,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities", Artha Venture Fund,1862000.0,Pre-series A,2020
584,Chai Waale,2018,Chennai,Food & Beverage,Tea Brand, Bharat Kumar,232000.0,Venture - Series Unknown,2020
585,NOTO,2016,Mumbai,Food & Beverage,A brand that makes healthy icecream,WEH Ventures,3000000.0,Pre-seed Round,2020
586,CueMath,2013,Bangalore,Education,It helps students to learn math online,Trifecta Capital,2888000.0,Series B,2020
587,CARS24,2015,Gurgaon,Transport,Online platform for selling used cars,Vivriti Capital,1328000.0,Venture - Series Unknown,2020
588,JetSynthesys,2012,Pune,Technology,Digital entertainment and technology company, Kris Gopalakrishnan,40000000.0,Venture - Series Unknown,2020
589,Earth Energy EV,2017,Mumbai,Transport,Electric vehicles startup,LR Joshi,3000000.0,Seed round,2020
590,Green Cure,2015,Delhi,Health,It sells herbal OTC products,Venture Catalysts,3000000.0,Venture - Series Unknown,2020
591,Blue Sky Analytics,2018,Gurugram,Technology,"It is building AI-powered infrastructure to analyse air quality, pollution etc", Stanford Angels & Entrepreneurs,1200000.0,Seed round,2020
592,Edhusk,2017,Jaipur,Education,Provieds personalised learning to students by leveraging technology-driven models,Mumbai Angel Network,3000000.0,Venture - Series Unknown,2020
593,Decentro,2020,Bangalore,Technology,Automated API-based platform that enables financial integrations.,Y Combinator,15500000.0,Series A,2020
594,Zolostays,2015,Bangalore,Real Estate,It offers affordable housing apartments to young professionals and students, Trifecta Capital,56000000.0,Series C,2020
595,Frontier Markets,2011,Jaipur,Technology,Women entreprenuers sells products and services to rural India, Beyond Capital Fund.,2250000.0,Pre-series A,2020
596,Brainwired,2018,Kerala,Agriculture,India’s first livestock health monitoring company, Gaurav Saraogi,3000000.0,Venture - Series Unknown,2020
597,Aye Finance,2014,Gurugram,Technology,A finance lender to SMEs,Invest in Vision,16753000.0,Series E,2020
598,Paper Boat,2013,Food & Beverages,Others,Ecommerce platform for beverages and snacks, Catamarann Ventures,3700000.0,Venture - Series Unknown,2020
599,Ken42,2019,Bangalore,Education,A platform that caters to evolving needs of institutions,Turbostart,1470000.0,Venture - Series Unknown,2020
600,Forbidden Foods,2016,Delhi,Food & Beverage,Packaged snacks company, Vijay Sivaram,1000000.0,Seed round,2020
