,company_brand,founded,headquarter,sector,what_it_does,investor,amount($),stage,year
2529,DronaHQ,2016,Mumbai,Technology,DronaHQ is an enterprise mobile engagement platform.,Inflection Point Ventures,500000.0,Angel,2018
2530,FastFox,2016,Gurgaon,Real Estate,FastFox: Market Network for Home Rentals (India), JSW Ventures,1464900.0,Series A,2018
2531,BuyForexOnline,2016,Bangalore,Hospitality,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,Hindustan Media Venture,2000000.0,Venture - Series Unknown,2018
2532,Colive.in,2016,Bangalore,Commerce,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,Inflection Point Ventures,1800000.0,Seed,2018
2533,Agricxlab Private Limited,2016,Thane,Commerce,Online marketplace where farmers and traders can sell their produce to B2B buyers,Inflection Point Ventures,500000.0,Seed,2018
2534,Corefactors,2016,Bangalore,Others,"Corefactors is a leading campaign management, business communication and analytics company.",Inflection Point Ventures,3000000.0,Seed,2018
2535,Fincash.com,2016,Mumbai,Finance,A startup in the personal finance space in India .,Venture Catalysts,150000.0,Seed,2018
2536,Pandorum Technologies,2016,Bangalore,Agriculture,Bengaluru based biotech startup., IndusInd Bank,3600000.0,Series A,2018
2537,Shirsa Labs,2016,Mumbai,Education,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,Inflection Point Ventures,500000.0,Seed,2018
2538,PetSutra,2016,Gurgaon,Health,Gurugram-based Online petcare platform.,Sequoia,139165.5,Seed,2018
2539,Awaaz De,2016,Ahmedabad,Technology,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,Inflection Point Ventures,3000000.0,Angel,2018
2540,PinkBlue,2016,Bangalore,Health,PinkBlue.in - Super-efficient supply-chain for clinical supplies,Sequoia,300000.0,Seed,2018
2541,Eduvanz,2016,Mumbai,Finance,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",Venture Catalysts,500000.0,Angel,2018
2542,Rupeek,2016,Bangalore,Financial,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans., Kalaari Capital,6830000.0,Series A,2018
2543,Backpacker Panda Holidays Private Limited,2016,Pune,Hospitality,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,Hindustan Media Venture,1400000.0,Series A,2018
2544,Shape (School Health and Physical Education),2016,Pune,Education,Physical education start up,Inflection Point Ventures,200000.0,Seed,2018
2545,Placio,2016,Noida,Hospitality,Placio is a student housing and a complete broker-free platform.,Hindustan Media Venture,2000000.0,Seed,2018
2546,Aviom India Housing Finance,2016,New Delhi,Finance,Delhi based housing finance company.,Venture Catalysts,2197350.0,Series A,2018
2547,GenRobotic,2016,Trivandrum,Commerce,A Robotic Company.,Inflection Point Ventures,3000000.0,Seed,2018
2548,HeyHolidays,2016,Bangalore,Hospitality,"HeyHolidays, a global player in online vacation rentals.",Hindustan Media Venture,1000000.0,Seed,2018
2549,Pratilipi,2016,Bangalore,Media and Entertainment,Amazon's Kindle Direct Publishing for Indian Languages, Times Internet,4300000.0,Series A,2018
2550,SectorQube,2016,Ernakulam,Commerce,SectorQube develops smart kitchen devices that make food automatically.,Inflection Point Ventures,3000000.0,Seed,2018
2551,Food Memories,2016,Ahmedabad,Food & Beverage,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,Coatue Management,3000000.0,Seed,2018
2552,ZAMROO,2016,India,Technology,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,Inflection Point Ventures,3000000.0,Seed,2018
2553,Silversparro Technologies Pvt. Ltd,2016,Gurgaon,Business Intelligence,Silversparro is a deep learning technology solution provider.,Titan Capital,300000.0,Seed,2018
2554,Creator’s Gurukul,2016,Gurgaon,Facilities,A coworking space provider.,Unknown,3000000.0,Angel,2018
2555,Emflux Motors,2016,Bangalore,Transport,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,CDC Group,364846.0,Seed,2018
2556,Tricog Health Services Pvt Ltd,2016,Bangalore,Health,Predictive Healthcare Analytics Company,Sequoia,4000000.0,Series A,2018
2557,Scapic,2016,Bangalore,Technology,Virtual/Augmented Reality Start Up .,Inflection Point Ventures,500000.0,Seed,2018
2558,6Degree,2016,Mumbai,Beauty and Fashion,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,Bessemer Venture Partners,400000.0,Seed,2018
2559,Chrysalis (EZ Vidya),2016,Chennai,Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,Inflection Point Ventures,3000000.0,Seed,2018
2560,Ekincare,2016,Hyderabad,Health,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,Sequoia,1500000.0,Series A,2018
2561,Streo,2016,Gurgaon,Media and Entertainment,"Live stream music from nightclubs, bars & festivals!", Times Internet,3000000.0,Seed,2018
2562,Groww,2016,Kormangala,Finance,Groww offers a new way of investing money.,Venture Catalysts,120000.0,Seed,2018
2563,Cell Propulsion,2016,Bangalore,Others,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,Inflection Point Ventures,102543.0,Seed,2018
2564,Chezuba,2016,Hyderabad,Technology,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,Inflection Point Ventures,20508.600000000002,Angel,2018
2565,Ontrack Technologies Pvt. Ltd,2016,Bangalore,Commerce,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,Inflection Point Ventures,3000000.0,Seed,2018
2566,Wealthtrust,2016,Mumbai,Finance,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,Venture Catalysts,500000.0,Seed,2018
2567,Faclon Labs,2016,Mumbai,Technology,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,Inflection Point Ventures,3000000.0,Seed,2018
2568,Awign Enterprises,2016,Bangalore,Commerce,Operations and manpower outsourcing startup,Inflection Point Ventures,732450.0,Seed,2018
2569,CollPoll,2016,Bangalore,Education,World-class Enterprise System for Education.,Inflection Point Ventures,3000000.0,Seed,2018
2570,Zyla Health,2016,New Delhi,Health,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,Sequoia,3000000.0,Seed,2018
2571,Hubhopper,2016,Delhi,Technology,Get your daily dose of interest as summaries from news and magazine stories .,Inflection Point Ventures,500000.0,Series A,2018
2572,Rubix108 Technologies,2016,Pune,Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,Inflection Point Ventures,1000000.0,Seed,2018
2573,Workflexi,2016,Bangalore,Business Intelligence,"Be Smart, Work on Contract,Be Smart, Hire on Contract",Titan Capital,146490.0,Seed,2018
2574,Streak,2016,Bangalore,Financial,Algorithmic trading platform., Kalaari Capital,329602.5,Seed,2018
2575,Kuants,2016,Gurgaon,Financial,Algorithmic trading platform., Kalaari Capital,73245.0,Seed,2018
2576,NiYO Solutions,2016,Bangalore,Finance,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,Venture Catalysts,13200000.0,Series A,2018
2577,Hippo Video,2016,Chennai,Hospitality,A video recording and sharing software.,Hindustan Media Venture,3000000.0,Seed,2018
2578,Satvacart,2016,Gurgaon,Commerce,Satvacart is a Gurgaon’s largest online supermarket,Inflection Point Ventures,3000000.0,Seed,2018
2579,Daaki,2016,Bangalore,Health,Sports Nutrition startup,Sequoia,3000000.0,Angel,2018
2580,Simulanis,2016,New Delhi,LifeStyle,A Delhi-based Augmented Reality and Virtual Reality technology development company.,9Unicorns,500000.0,Seed,2018
2581,MY CHIRAAG CAB,2016,Jaipur,Hospitality,MY CHIRAAG CAB SERVICES PVT LTD,Hindustan Media Venture,1000000.0,Seed,2018
2582,WOTU,2016,Bangalore,Food & Beverage,It operates a business-to-business e-commerce portal for food and beverages.,Coatue Management,3000000.0,Seed,2018
2583,Flathalt,2016,Gurgaon,Others,FInd your Customized Home here.,Inflection Point Ventures,50000.0,Angel,2018
2584,True Elements,2016,Pune,Dietary,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,Unknown,732450.0,Seed,2018
2585,Trendlyne Technologies,2016,Bangalore,Financial,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors., Kalaari Capital,200000.0,Seed,2018
2586,Planys Technologies,2016,Chennai,Manufacturing,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions., Base Partners,2053789.8,Series A,2018
2587,HealthPlix,2016,Bangalore,LifeStyle,HealthPlix is a healthtech startup,9Unicorns,3000000.0,Series A,2018
2588,dishq,2016,Bangalore,Others,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,Inflection Point Ventures,400000.0,Seed,2018
2589,Entropik Technology,2016,Bangalore,Technology,The boundaries between Human and Machines are shrinking fast.,Inflection Point Ventures,1100000.0,Seed,2018
2590,myHQ,2016,Delhi,Collaboration,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,Unknown,500000.0,Series A,2018
2591,Trell,2016,Bangalore City,Others,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,Inflection Point Ventures,1250000.0,Seed,2018
2592,Kidovators (by GyanLab),2016,Bangalore,Big,Building future human capital through 21st Century Skills programs for K-12,Unknown,180000.0,Seed,2018
2593,Log 9 Materials,2016,Uttar Pradesh,Technology,Log 9 Materials is a nano-materials manufacturing and RnD startup,Inflection Point Ventures,439470.0,Seed,2018
2594,VTION,2016,Gurgaon,Business Intelligence,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,Titan Capital,281260.8,Seed,2018
2595,HousingMan.com,2016,Bangalore,Others,"New Apartments, Flats for Sale in Bangalore",Inflection Point Ventures,1508847.0,Seed,2018
2596,Steradian Semiconductors,2016,Bangalore,Others,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,Inflection Point Ventures,3000000.0,Seed,2018
2597,RupeeCircle,2016,Mumbai,Financial,RupeeCircle is a new age finance company., Kalaari Capital,585960.0,Seed,2018
2598,WoodenStreet,2016,Jaipur,Commerce,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,Inflection Point Ventures,1000000.0,Series A,2018
